id,name,category,description,eligibility,address,lat,lng,hours,phone,website,walk_in,last_verified
2010, Community Garden Food Share,food,"Volunteer-run garden distributing fresh produce to neighborhood residents. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to all,"8279 Wayside Dr, Houston, TX, 77083",29.748056,-95.440336,Mon-Fri 08:00-18:00,713-962-9830,,FALSE,7/5/2026
2011, Emergency Food Box Program,food,"One-time emergency food boxes for households facing a sudden crisis. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Once per household per emergency; ID requested,"9677 Griggs Rd, Houston, TX, 77075",29.73022,-95.454004,Mon-Fri 08:00-18:00,713-721-9085,,TRUE,7/5/2026
2012, College Campus Food Pantry,food,"On-campus food pantry for students facing food insecurity. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Currently enrolled students only,"871 Bissonnet St, Houston, TX, 77020",29.798634,-95.282176,"Tue,Thu 09:00-13:00",713-810-2040,,FALSE,7/5/2026
2013, Neighborhood Grocery Rescue Program,food,"Redistributes surplus grocery store food to community members. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to all; while supplies last,"6352 Lockwood Dr, Houston, TX, 77068",29.685824,-95.353832,Mon-Fri 09:00-17:00,713-896-2876,,FALSE,7/5/2026
2014, Emergency Overnight Shelter,shelter,"Overnight emergency shelter beds for individuals and families experiencing homelessness, with meals provided. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Open to all; families with children given priority,"5673 Bissonnet St, Houston, TX, 77038",29.74083,-95.383683,Mon-Fri 10:00-19:00,713-936-5315,,TRUE,7/5/2026
2015, Family Shelter Program,shelter,"Shelter specifically for families with children experiencing homelessness, including case management. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Families with children under 18,"8417 Bissonnet St, Houston, TX, 77081",29.699933,-95.328115,Mon-Sat 08:00-16:00,713-403-3504,,FALSE,7/5/2026
2016, Youth Emergency Shelter,shelter,"Short-term shelter for unaccompanied youth and teens experiencing homelessness. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Ages 12-24; unaccompanied minors accepted with intake process,"2746 Main St, Houston, TX, 77077",29.707647,-95.513957,24/7,713-514-4923,,TRUE,7/5/2026
2017, Domestic Violence Safe House,shelter,"Confidential emergency shelter for survivors of domestic violence and their children. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Survivors of domestic violence; confidential intake,"4046 Elm St, Houston, TX, 77011",29.829972,-95.274993,Mon-Sat 08:00-16:00,713-984-3060,,TRUE,7/5/2026
2018, Winter Warming Center,shelter,"Seasonal overnight shelter open during cold weather months with beds and hot meals. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Open to all; seasonal Nov-Mar only,"7887 Fondren Rd, Houston, TX, 77034",29.768702,-95.337822,Mon-Fri 08:00-18:00,713-752-4295,,FALSE,7/5/2026
2019, Transitional Housing Program,shelter,"Longer-term supportive housing helping individuals move from homelessness to stability. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Referral required; program length 6-24 months,"6637 Broadway St, Houston, TX, 77057",29.880284,-95.384354,Mon-Fri 08:00-18:00,713-430-2049,,FALSE,7/5/2026
2020, Day Shelter & Resource Center,shelter,"Daytime drop-in center offering showers, storage, meals, and case management for people experiencing homelessness. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Open to all; no overnight beds,"444 Airline Dr, Houston, TX, 77076",29.676465,-95.498502,Mon-Fri 10:00-19:00,713-260-4750,,TRUE,7/5/2026
2021, Veteran Housing Program,shelter,"Transitional and permanent supportive housing specifically for veterans experiencing homelessness. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Must be a veteran; discharge status verified at intake,"614 Antoine Dr, Houston, TX, 77010",29.764647,-95.436257,"Tue,Thu 09:00-13:00",713-419-9834,,TRUE,7/5/2026
2022, Rapid Rehousing Program,shelter,"Short-term rental assistance and case management to quickly move families out of homelessness. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Households currently experiencing homelessness; income-based,"9455 Hillcroft Ave, Houston, TX, 77032",29.845786,-95.277551,Mon-Fri 08:00-18:00,713-296-2588,,FALSE,7/5/2026
2023, Overflow Shelter Network,shelter,"Additional shelter capacity activated during extreme weather or capacity emergencies. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Open to all when activated; call ahead to confirm activation,"5904 Griggs Rd, Houston, TX, 77053",29.750507,-95.301077,Mon-Fri 10:00-19:00,713-869-2612,,TRUE,7/5/2026
2024, Host Home Network for Youth,shelter,"Connects homeless youth with vetted host families for temporary housing. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Ages 18-24; application and screening required,"6696 Antoine Dr, Houston, TX, 77014",29.684997,-95.462737,"Tue,Thu 09:00-13:00",713-343-7912,,TRUE,7/5/2026
2025, Recovery Housing Program,shelter,"Sober living transitional housing for individuals in recovery from substance use. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Must be in active recovery; sobriety requirement,"4663 Lockwood Dr, Houston, TX, 77032",29.872746,-95.497185,Mon-Sat 08:00-16:00,713-300-1828,,TRUE,7/5/2026
2026, Emergency Hotel Voucher Program,shelter,"Short-term hotel vouchers for families in crisis awaiting shelter bed availability. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Referral through 211 or partner agency required,"1628 Airline Dr, Houston, TX, 77022",29.732324,-95.375392,"Tue,Thu 09:00-13:00",713-260-3697,,FALSE,7/5/2026
2027, LGBTQ+ Youth Shelter Program,shelter,"Shelter and support services specifically for LGBTQ+ youth experiencing homelessness. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Ages 18-24; LGBTQ+ identifying youth,"135 Wayside Dr, Houston, TX, 77034",29.888355,-95.284261,24/7,713-633-8973,,TRUE,7/5/2026
2028, Legal Aid Society,legal,"Free legal representation and advice for low-income residents on housing, eviction defense, and family law matters. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Household income under 125% federal poverty line,"3211 Gessner Rd, Houston, TX, 77028",29.901013,-95.346046,Mon-Sat 08:00-16:00,713-262-6138,,TRUE,7/5/2026
2029, Immigrant Rights Legal Clinic,legal,"Free consultations on immigration status, asylum applications, and family reunification cases. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",No income requirement; appointment preferred,"921 Hillcroft Ave, Houston, TX, 77065",29.886216,-95.360462,Mon-Fri 09:00-17:00,713-720-2312,,TRUE,7/5/2026
2030, Tenant Rights Hotline,legal,"Free phone consultations for renters facing eviction, unsafe housing conditions, or landlord disputes. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to all renters,"1222 Elm St, Houston, TX, 77087",29.868946,-95.398667,Mon-Sat 08:00-16:00,713-452-1651,,TRUE,7/5/2026
2031, Family Law Self-Help Clinic,legal,"Monthly walk-in clinic offering free advice on custody, divorce, and child support matters. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; walk-in; no income requirement,"6968 Antoine Dr, Houston, TX, 77034",29.671678,-95.304942,Mon-Fri 08:00-18:00,713-471-7484,,TRUE,7/5/2026
2032, Expungement & Record Clearing Clinic,legal,"Free help filing paperwork to clear or seal eligible criminal records. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Eligibility depends on offense type and time elapsed,"5015 Lockwood Dr, Houston, TX, 77041",29.889105,-95.23908,Mon-Fri 09:00-17:00,713-669-2638,,TRUE,7/5/2026
2033, Disability Rights Legal Center,legal,"Free legal help with disability benefits denials, accessibility complaints, and discrimination cases. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Individuals with disabilities; no income requirement,"8908 Cullen Blvd, Houston, TX, 77065",29.68996,-95.239822,Mon-Fri 09:00-17:00,713-450-7054,,FALSE,7/5/2026
2034, Veterans Legal Clinic,legal,"Free legal assistance for veterans on benefits appeals, discharge upgrades, and housing issues. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Must be a veteran,"2684 Lockwood Dr, Houston, TX, 77070",29.821462,-95.336297,Mon-Fri 10:00-19:00,713-741-1128,,FALSE,7/5/2026
2035, Domestic Violence Legal Advocacy Program,legal,"Free legal help obtaining protective orders and navigating family court for survivors of abuse. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Survivors of domestic violence; free and confidential,"1797 Westheimer Rd, Houston, TX, 77034",29.645029,-95.487689,Mon-Sat 08:00-16:00,713-359-5462,,FALSE,7/5/2026
2036, Small Claims Help Desk,legal,"Free guidance navigating the small claims court process, no attorney required. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to anyone with a small claims matter,"3550 Antoine Dr, Houston, TX, 77027",29.816649,-95.263926,Mon-Sat 08:00-16:00,713-700-5114,,TRUE,7/5/2026
2037, Elder Law Legal Clinic,legal,"Free legal consultations for seniors on wills, guardianship, and elder abuse matters. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Ages 60+,"1612 Griggs Rd, Houston, TX, 77036",29.623626,-95.419733,Mon-Fri 08:00-18:00,713-852-5291,,TRUE,7/5/2026
2038, Consumer Debt Legal Clinic,legal,"Free legal help responding to debt collection lawsuits and understanding consumer rights. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Income-based; no cost consultation,"7339 Griggs Rd, Houston, TX, 77072",29.613301,-95.497227,Mon-Fri 10:00-19:00,713-352-9938,,TRUE,7/5/2026
2039, Employment Rights Legal Clinic,legal,"Free consultations on wage theft, wrongful termination, and workplace discrimination. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Open to all workers; income-based for full representation,"6149 Westheimer Rd, Houston, TX, 77056",29.648634,-95.427322,Mon-Fri 09:00-17:00,713-566-4441,,TRUE,7/5/2026
2040, Guardianship & Custody Help Center,legal,"Free help navigating guardianship and custody paperwork for kinship caregivers. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Kinship caregivers raising a relative's child,"1784 Broadway St, Houston, TX, 77072",29.87564,-95.397887,Mon-Sat 08:00-16:00,713-967-3532,,TRUE,7/5/2026
2041, Know-Your-Rights Legal Workshop Series,legal,"Free recurring community workshops explaining tenant, immigration, and consumer rights. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to the public; no registration required,"2762 Fondren Rd, Houston, TX, 77053",29.617836,-95.298831,24/7,713-621-5065,,FALSE,7/5/2026
2042, Financial Empowerment Center,financial,"Free one-on-one financial counseling covering budgeting, debt reduction, and credit repair. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; no income requirement; appointment recommended,"2708 Bissonnet St, Houston, TX, 77049",29.87205,-95.262222,Mon-Fri 08:00-18:00,713-404-8541,,FALSE,7/5/2026
2043, Emergency Utility Assistance Program,financial,"One-time financial assistance to prevent utility shutoff for qualifying low-income households. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Income under 150% federal poverty line; shutoff notice required,"5100 Airline Dr, Houston, TX, 77029",29.617499,-95.461861,24/7,713-485-2137,,FALSE,7/5/2026
2044, Rent Relief Fund,financial,"Emergency rental assistance grants for households at risk of eviction due to job loss or medical hardship. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Proof of income loss or hardship required,"5853 Wayside Dr, Houston, TX, 77087",29.904745,-95.358935,Mon-Fri 09:00-17:00,713-318-5279,,TRUE,7/5/2026
2045, Job & Career Center,financial,"Free job placement, resume help, and career counseling services, including for those with unstable housing. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to all residents,"9612 Telephone Rd, Houston, TX, 77005",29.642921,-95.389431,Mon-Fri 10:00-19:00,713-521-8149,,TRUE,7/5/2026
2046, Nonprofit Credit Counseling Program,financial,"Free and low-cost credit counseling, debt management plans, and financial literacy classes. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free consultation; sliding scale for ongoing services,"6411 Cullen Blvd, Houston, TX, 77033",29.623716,-95.388983,Mon-Sat 08:00-16:00,713-751-4228,,FALSE,7/5/2026
2047, Free Tax Preparation Program (VITA),financial,"IRS-certified volunteers provide free tax preparation for low- to moderate-income filers. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.","Household income under ~$67,000; seasonal Jan-Apr","7166 Elm St, Houston, TX, 77086",29.886631,-95.332853,Mon-Fri 10:00-19:00,713-327-5920,,FALSE,7/5/2026
2048, Benefits Enrollment Center,financial,"Free help applying for SNAP, Medicaid, and other public benefits programs. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to all; income verification may be required for benefits,"6791 Antoine Dr, Houston, TX, 77052",29.819563,-95.353476,Mon-Fri 08:00-18:00,713-630-7211,,TRUE,7/5/2026
2049, Emergency Cash Assistance Program,financial,"One-time emergency cash grants for households facing a sudden financial crisis. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Income-based; documentation of crisis required,"9424 Gessner Rd, Houston, TX, 77052",29.774781,-95.519678,24/7,713-415-8043,,FALSE,7/5/2026
2050, First-Time Homebuyer Assistance Program,financial,"Down payment assistance and homebuyer education classes for qualifying first-time buyers. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",First-time buyers; income limits apply,"7718 Lockwood Dr, Houston, TX, 77057",29.813088,-95.366448,Mon-Fri 10:00-19:00,713-373-2389,,FALSE,7/5/2026
2051, Small Business Microloan Program,financial,"Microloans and free business counseling for low-income entrepreneurs. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Must complete business counseling; income-based loan terms,"8545 Antoine Dr, Houston, TX, 77012",29.855927,-95.294459,Mon-Fri 10:00-19:00,713-517-4680,,TRUE,7/5/2026
2052, Debt Management Program,financial,"Structured debt repayment plans negotiated with creditors on the client's behalf. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free enrollment consultation; program fee may apply,"2514 Main St, Houston, TX, 77006",29.683853,-95.377259,Mon-Fri 09:00-17:00,713-666-7790,,TRUE,7/5/2026
2053, Bank On Program - Free Checking Access,financial,"Helps unbanked residents open low-fee, no-overdraft checking accounts at partner banks. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to unbanked/underbanked residents,"6391 Hillcroft Ave, Houston, TX, 77052",29.683595,-95.322983,Mon-Fri 09:00-17:00,713-968-2746,,FALSE,7/5/2026
2054, Disaster Financial Recovery Center,financial,"Financial counseling and emergency grants for households recovering from a natural disaster. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Must be in a declared disaster area,"3685 Fondren Rd, Houston, TX, 77090",29.765787,-95.504734,Mon-Fri 08:00-18:00,713-324-8478,,TRUE,7/5/2026
2055, Senior Financial Exploitation Helpline,financial,"Free consultation for seniors who suspect they've been targeted by financial scams or exploitation. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Ages 60+; free and confidential,"7712 Antoine Dr, Houston, TX, 77097",29.877828,-95.336004,Mon-Fri 10:00-19:00,713-716-7991,,FALSE,7/5/2026
2056, Childcare Subsidy Program,childcare,"Helps low-income families access subsidized childcare slots at partner daycare centers citywide. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Income under 185% federal poverty line; must be employed or in school,"2707 Hillcroft Ave, Houston, TX, 77058",29.688157,-95.445628,Mon-Fri 10:00-19:00,713-483-9540,,FALSE,7/5/2026
2057, Parent Resource Center,childcare,"Free parenting classes, childcare referrals, and diaper distribution for new and expecting parents. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to all parents and caregivers,"4019 Telephone Rd, Houston, TX, 77057",29.633645,-95.434082,24/7,713-543-6238,,TRUE,7/5/2026
2058, Early Head Start Program,childcare,"Free early childhood education and family support services for infants, toddlers, and pregnant women. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Income-based; pregnant women and children under 3,"2367 Westheimer Rd, Houston, TX, 77030",29.725311,-95.473958,Mon-Fri 08:00-18:00,713-265-7797,,FALSE,7/5/2026
2059, Diaper Bank,childcare,"Free diapers and baby wipes distributed monthly to families in need. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Household with children under 3; income-based,"5521 Lockwood Dr, Houston, TX, 77054",29.62908,-95.269933,"Tue,Thu 09:00-13:00",713-988-1320,,FALSE,7/5/2026
2060, Home Visiting Program for New Parents,childcare,"Free in-home visits from a nurse or parent educator for first-time parents. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",First-time parents; enrollment during pregnancy or infancy preferred,"7914 Main St, Houston, TX, 77046",29.699984,-95.402804,"Tue,Thu 09:00-13:00",713-751-9947,,TRUE,7/5/2026
2061, After-School Enrichment Program,childcare,"Free after-school care and tutoring for school-age children of working parents. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",School-age children; parent must be employed or in school,"8099 Airline Dr, Houston, TX, 77035",29.741151,-95.511093,24/7,713-884-7624,,TRUE,7/5/2026
2062, Teen Parent Support Program,childcare,"Parenting classes, childcare, and educational support specifically for teen parents. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Parents under age 20,"7757 Westheimer Rd, Houston, TX, 77080",29.770637,-95.247721,Mon-Sat 08:00-16:00,713-777-1444,,TRUE,7/5/2026
2063, Respite Care Program for Caregivers,childcare,"Short-term free childcare to give parents and caregivers of children with disabilities a break. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Families of children with disabilities or special needs,"7122 Westheimer Rd, Houston, TX, 77060",29.664919,-95.441753,24/7,713-416-8449,,FALSE,7/5/2026
2064, Family Resource Center,childcare,"One-stop center connecting families to childcare, health, and housing resources. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to all families,"5629 Wayside Dr, Houston, TX, 77036",29.836003,-95.270223,24/7,713-283-8705,,TRUE,7/5/2026
2065, Childcare Provider Referral Line,childcare,"Free phone service helping parents find licensed childcare providers in their area. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to all,"8937 Oak Ave, Houston, TX, 77045",29.677667,-95.499214,Mon-Fri 10:00-19:00,713-241-1508,,TRUE,7/5/2026
2066, Kinship Caregiver Support Program,childcare,"Support groups and financial assistance for grandparents and relatives raising children. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Kinship caregivers raising a relative's child,"3366 Main St, Houston, TX, 77080",29.656115,-95.481934,Mon-Fri 10:00-19:00,713-317-4571,,FALSE,7/5/2026
2067, Bilingual Early Childhood Program,childcare,"Free bilingual early childhood education classes for children ages 2-5. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Income-based; ages 2-5,"4298 Broadway St, Houston, TX, 77022",29.792168,-95.23068,Mon-Fri 10:00-19:00,713-317-3683,,FALSE,7/5/2026
2068, Foster & Adoptive Parent Support Program,childcare,"Training, respite care, and support groups for foster and adoptive families. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Licensed foster or adoptive parents,"1871 Main St, Houston, TX, 77040",29.783139,-95.247392,"Tue,Thu 09:00-13:00",713-606-4249,,TRUE,7/5/2026
2069, Special Needs Childcare Navigator,childcare,"Helps families find childcare providers equipped to support children with disabilities. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Families of children with disabilities,"9800 Airline Dr, Houston, TX, 77014",29.819558,-95.429325,Mon-Fri 10:00-19:00,713-814-2983,,TRUE,7/5/2026
2070, Crisis Counseling Hotline,mental_health,"24/7 phone counseling for mental health crises including suicide prevention and emotional support. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to anyone; no eligibility requirements,"5788 Griggs Rd, Houston, TX, 77085",29.721571,-95.368012,24/7,713-212-7882,,FALSE,7/5/2026
2071, Sliding Scale Therapy Collective,mental_health,"Group of independent therapists offering sliding-scale individual therapy for adults. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Sliding scale fee; no insurance required,"1829 Griggs Rd, Houston, TX, 77047",29.801076,-95.271188,Mon-Fri 10:00-19:00,713-356-8135,,TRUE,7/5/2026
2072, Youth Counseling Center,mental_health,"Counseling services specifically for children and teenagers dealing with anxiety and family issues. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Ages 5-18; parental consent required; sliding scale,"8648 Telephone Rd, Houston, TX, 77079",29.85286,-95.358348,"Tue,Thu 09:00-13:00",713-676-8136,,FALSE,7/5/2026
2073, Substance Use Support Group Network,mental_health,"Free peer support groups for individuals in recovery from substance use. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Free; open to anyone in or seeking recovery,"5380 Airline Dr, Houston, TX, 77012",29.694078,-95.384559,"Tue,Thu 09:00-13:00",713-783-7209,,FALSE,7/5/2026
2074, Grief & Loss Counseling Program,mental_health,"Free and low-cost individual and group counseling for those experiencing grief. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Sliding scale; open to all ages,"570 Hillcroft Ave, Houston, TX, 77042",29.664952,-95.456164,24/7,713-548-5581,,FALSE,7/5/2026
2075, Veterans Mental Health Program,mental_health,"Counseling and support groups specifically for veterans dealing with PTSD, anxiety, or depression. PLACEHOLDER ENTRY — this is a sample used to fill out the dataset for testing; replace with a real, verified local organization before using this in a live demo.",Must be a veteran,"9206 Main St, Houston, TX, 77067",29.894819,-95.494116,Mon-Fri 10:00-19:00,713-616-9004,,TRUE,7/5/2026
