id,name,category,description,eligibility,address,lat,lng,hours,phone,website,walk_in,last_verified
1010,Bee Busy Wellness Center - Bay Area,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"1300 Bay Area Blvd # 200, Houston, TX, 77058-2505",29.56010111,-95.11590378,Call to confirm hours,713-771-2292,mybbwc.org,,2026-07-05
1011,Medical Mobile Unit #3,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"3550 Swingle Rd, Houston, TX, 77047-3763",29.61976408,-95.36694253,Call to confirm hours,346-426-0500,,,2026-07-05
1012,YES Prep Northline Secondary,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"441 Little York Rd, Houston, TX, 77076-1124",29.87153713,-95.37572182,Call to confirm hours,832-548-5000,,,2026-07-05
1013,Legacy Mapleridge Clinic,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"6550 Mapleridge St STE 106, Houston, TX, 77081-4629",29.70982662,-95.47424514,Call to confirm hours,713-779-7200,www.legacycommunityhealth.org,,2026-07-05
1014,YES Prep Southside,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"5515 S Loop Fwy E, Houston, TX, 77033",29.68752087,-95.33612403,Call to confirm hours,713-967-9800,www.legacycommunityhealth.org,,2026-07-05
1015,Dental Mobile Unit,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"5656 Kelley St, Houston, TX, 77026-1975",29.81192998,-95.31187996,Call to confirm hours,346-426-0500,,,2026-07-05
1016,YES Prep Southside Elementary,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"5515 South Loop E, Houston, TX, 77033",29.68747899,-95.336343,Call to confirm hours,832-548-5000,,,2026-07-05
1017,HACS: Bautista,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"902 Frostwood Dr, Suite 142, Houston, TX, 77024-2401",29.78020385,-95.54688028,Call to confirm hours,713-827-8266,www.hacstxs.org,,2026-07-05
1018,Airline Women and Children's Health Center,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"5808 Airline Dr, Houston, TX, 77076-4923",29.85036197,-95.38398436,Call to confirm hours,713-695-4013,www.denverharborclinic.org,,2026-07-05
1019,KIPP - Climb,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"8805 Ferndale St, Houston, TX, 77017",29.6671189,-95.25986296,Call to confirm hours,832-548-5000,https://legacycommunityhealth.org,,2026-07-05
1020,KIPP Nexus,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"4211 Watonga Blvd, Houston, TX, 77092-5398",29.8293876,-95.45974856,Call to confirm hours,832-548-5000,,,2026-07-05
1021,Medical Mobile Unit #2,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"3550 Swingle Rd, Houston, TX, 77047-3763",29.61976408,-95.36694253,Call to confirm hours,346-426-0500,,,2026-07-05
1022,MyCHN at Westwood,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"9700 Bissonnet St, Suite 1000 W, Houston, TX, 77036-8001",29.6773812,-95.54564538,Call to confirm hours,281-824-1480,www.mychn.org,,2026-07-05
1023,YES Prep Secondary,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"8787 Tallyho Rd, Houston, TX, 77061-3420",29.65691682,-95.25955577,Call to confirm hours,832-548-5000,legacycommunityhealth.org,,2026-07-05
1024,Yes Prep Hobby Secondary,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"7660 Hansen Rd, Houston, TX, 77061-3410",29.65815651,-95.259352,Call to confirm hours,832-548-5000,,,2026-07-05
1025,KIPP North Campus,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"500 Tidwell Rd, Houston, TX, 77022-2122",29.84410999,-95.36882997,Call to confirm hours,832-328-1051,www.legacycommunityhealth.org,,2026-07-05
1026,YES Prep - Southwest,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"4411 Anderson Rd, Houston, TX, 77053-2307",29.60111598,-95.44363602,Call to confirm hours,832-548-5000,https://legacycommunityhealth.org,,2026-07-05
1027,KIPP Legacy Preparatory School,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"9606 Mesa Dr, Houston, TX, 77078-3024",29.850813,-95.26075337,Call to confirm hours,832-328-1051,,,2026-07-05
1028,KIPP Sunnyside Campus,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"11000 Scott St, Houston, TX, 77047-1500",29.63765001,-95.36914001,Call to confirm hours,832-328-1051,www.legacycommunityhealth.org,,2026-07-05
1029,MyCHN East Houston,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"12871 East Fwy, Houston, TX, 77015-5707",29.77226568,-95.20345066,Call to confirm hours,281-824-1480,www.mychn.org,,2026-07-05
1030,Legacy Gulfton Dashwood Ste 102,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"5420 Dashwood Dr, Suite 102, Houston, TX, 77081-5333",29.70797527,-95.47503757,Call to confirm hours,832-548-5000,legacycommunityhealth.org,,2026-07-05
1031,Legacy Baker Ripley,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"6500 Rookin St, Houston, TX, 77074-5019",29.7105328,-95.4982976,Call to confirm hours,832-548-5000,www.legacycommunityhealth.org,,2026-07-05
1032,AVENUE 360 Southwest,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"14095 Main St, Houston, TX, 77035-5447",29.63467309,-95.49603748,Call to confirm hours,713-426-0027,,,2026-07-05
1033,Asian American Health Coalition of the Greater Houston Area,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"7001 Corporate Dr, Suite 120, Houston, TX, 77036-5113",29.70334959,-95.55085859,Call to confirm hours,713-773-0803,www.hopechc.org,,2026-07-05
1034,Yes Prep - Northside,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"5215 Jensen Dr, Houston, TX, 77026-2514",29.80755999,-95.34347999,Call to confirm hours,713-924-0400,,,2026-07-05
1035,KIPP East End Campus,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"5402 Lawndale St, Houston, TX, 77023-3743",29.72697998,-95.32207999,Call to confirm hours,832-328-1051,www.legacycommunityhealth.org,,2026-07-05
1036,HOPE Aldine,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"3000 Aldine Mail Route Rd, Houston, TX, 77039-5612",29.90198142,-95.34323692,Call to confirm hours,713-773-0803,www.hopechc.org,,2026-07-05
1037,KIPP Mosaic,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"12751 Hillcroft Ave, Houston, TX, 77085-1361",29.63512781,-95.49160339,Call to confirm hours,832-548-5000,,,2026-07-05
1038,Denver Harbor Ancillary Services,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"424 Hahlo St, Houston, TX, 77020-3022",29.7806405,-95.30986236,Call to confirm hours,713-674-3326,www.denverharborclinic.org,,2026-07-05
1039,YES Prep Gulfton,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"6565 De Moss Dr, Houston, TX, 77074-5099",29.70673902,-95.49817891,Call to confirm hours,713-967-9800,www.legacycommunityhealth.org,,2026-07-05
1040,KIPP West - Unity,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"8500 Highway 6 S, Houston, TX, 77083-5709",29.68668,-95.64622998,Call to confirm hours,832-548-5000,www.legacycommunityhealth.org,,2026-07-05
1041,OPEN DOOR MISSION,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"5803 Harrisburg Blvd, Houston, TX, 77011-4323",29.74068929,-95.31701715,Call to confirm hours,713-921-7520,www.opendoorhouston.org,,2026-07-05
1042,YES Prep North Central Elementary,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"1900 Strawn Rd # 77039, Houston, TX, 77039-2017",29.91673268,-95.35771144,Call to confirm hours,832-548-5000,,,2026-07-05
1043,CATHEDRAL CLINIC,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"1212 Prairie St, Houston, TX, 77002-2008",29.75923417,-95.35981003,Call to confirm hours,713-220-9730,www.homeless-healthcare.org,,2026-07-05
1044,St. Hope Foundation Community Health Clinic,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"255 Northpoint Dr, Houston, TX, 77060-3268",29.93863259,-95.40393078,Call to confirm hours,832-300-8040,,,2026-07-05
1045,El Centro de Corazon- John S. Dunn,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"7635 Canal St, Houston, TX, 77012-1143",29.73579175,-95.28696518,Call to confirm hours,713-660-1880,www.elcentrodecorazon.org,,2026-07-05
1046,Legacy Alief Bissonnet,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"12345 Bissonnet St, Houston, TX, 77099-1332",29.67625443,-95.59689281,Call to confirm hours,832-548-5000,legacycommunityhealth.org,,2026-07-05
1047,Bee Busy Wellness Center,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"8785 W Bellfort Ave, Houston, TX, 77031-2403",29.65524971,-95.53110856,Call to confirm hours,713-771-2292,,,2026-07-05
1048,Sanchez Charter School,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"215 Rittenhouse St, Houston, TX, 77076-1709",29.86461033,-95.3748496,Call to confirm hours,713-742-0947,,,2026-07-05
1049,Medical Mobile  Unit,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"3550 Swingle Rd, Houston, TX, 77047-3763",29.61976408,-95.36694253,Call to confirm hours,346-426-0500,,,2026-07-05
1050,YES Prep - North Forest,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"6602 Winfield Rd, Houston, TX, 77050-4799",29.89835478,-95.29167824,Call to confirm hours,832-548-5000,,,2026-07-05
1051,North Shore Senior High School,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"353 N Castlegory Rd, Houston, TX, 77049-1739",29.81097398,-95.17457903,Call to confirm hours,832-548-5000,,,2026-07-05
1052,BBWC - Mobile Clinic,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"8785 W Bellfort Ave, Houston, TX, 77031-2403",29.65524971,-95.53110856,Call to confirm hours,713-771-2292,https:\\mybbwc.org,,2026-07-05
1053,Navigation Center,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"2903 Jensen Dr, Houston, TX, 77026-6019",29.78786608,-95.34230376,Call to confirm hours,346-426-0691,,,2026-07-05
1054,J.W. Oates Elementary School,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"10044 Wallisville Rd, Houston, TX, 77013-4616",29.79366024,-95.25288712,Call to confirm hours,713-671-3800,,,2026-07-05
1055,HOPE Clinic WEST,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"12121 Westheimer Rd, #205, Houston, TX, 77077-6654",29.73622916,-95.59385062,Call to confirm hours,281-558-2737,ww.hopechc.org,,2026-07-05
1056,Harmony House Respite Center,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"602 Girard St, Houston, TX, 77007-6218",29.76768028,-95.36398665,Call to confirm hours,713-221-6219,,,2026-07-05
1057,Legacy Northside/Northline  -  North Freeway,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"5598 North Fwy, #A-1, Houston, TX, 77076-4702",29.84795628,-95.39363747,Call to confirm hours,832-548-5000,,,2026-07-05
1058,CAROLINE STREET CLINIC,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"1934 Caroline St, Houston, TX, 77002-8210",29.74824801,-95.36839402,Call to confirm hours,713-286-6124,www.homeless-healthcare.org,,2026-07-05
1059,Bee Busy Wellness Center - Bissonnet,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"10039 Bissonnet St, Houston, TX, 77036-7854",29.6745562,-95.5540852,Call to confirm hours,713-771-2292,,,2026-07-05
1060,Yes Prep - East End (New Campus),health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"8401 Lawndale St, Houston, TX, 77012-3709",29.71633697,-95.27307091,Call to confirm hours,832-548-5000,,,2026-07-05
1061,University of Houston Health Family Care Center,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC) Look-Alike.",Uninsured and underinsured accepted; sliding fee scale based on income,"4349 Martin Luther King Blvd, Houston, TX, 77204-3074",29.71663399,-95.33896298,Call to confirm hours,713-743-9682,https://uh.edu/medicine/patient-care/family-care-center/,,2026-07-05
1062,Scroggins Elementary School,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"400 Boyles St, Houston, TX, 77020-5299",29.78095759,-95.29864494,Call to confirm hours,713-671-4130,,,2026-07-05
1063,KIPP SHARP,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"8430 Westglen Dr, Houston, TX, 77063-6312",29.7246807,-95.51238682,Call to confirm hours,832-328-1051,www.legacycommunityhealth.org,,2026-07-05
1064,Legacy North Irvington,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"3517 Irvington Blvd, Houston, TX, 77009-5700",29.79272201,-95.36146303,Call to confirm hours,832-548-5000,legacycommunityhealth.org,,2026-07-05
1065,KIPP CONNECT,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"6700 Bellaire Blvd, Houston, TX, 77074-4999",29.70589501,-95.50186502,Call to confirm hours,832-548-5000,www.legacycommunityhealth.org,,2026-07-05
1066,Spring Branch CHC -  WholeLife Clinic,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"1905 Jacquelyn Dr, Houston, TX, 77055-2502",29.80520329,-95.48135794,Call to confirm hours,713-462-6565,www.sbchc.net,,2026-07-05
1067,Pugh Elementary,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"1147 Kress St, Houston, TX, 77020-7498",29.76829664,-95.3068551,Call to confirm hours,713-671-3820,,,2026-07-05
1068,YES Prep North Forest Elementary,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"6602 Winfield Rd, Houston, TX, 77050-4799",29.89835478,-95.29167824,Call to confirm hours,832-548-5000,,,2026-07-05
1069,YES Prep West,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"10535 Harwin Dr, Houston, TX, 77036-1592",29.71547925,-95.55324818,Call to confirm hours,832-548-5000,,,2026-07-05
1070,KIPP Sharpstown,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. This location operates as a school-based site. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"8440 Westpark Dr, Houston, TX, 77063-5899",29.722863,-95.51277457,Call to confirm hours,832-328-1051,www.legacycommunityhealth.org,,2026-07-05
1071,Legacy South Main St,health,"Federally supported community health center offering primary care services. Serves patients regardless of insurance status or ability to pay, with services often available on a sliding fee scale. Designated as a Federally Qualified Health Center (FQHC).",Uninsured and underinsured accepted; sliding fee scale based on income,"10021 Main St, Suite B 3, Houston, TX, 77025-5254",29.67548211,-95.42768903,Call to confirm hours,832-548-5000,legacycommunityhealth.org,,2026-07-05
