id,name,category,description,eligibility,address,lat,lng,hours,phone,website,walk_in,last_verified
11,Rivertown Community Food Bank,food,"Large-scale food bank distributing groceries to individuals and partner pantries citywide. Drive-through and walk-up available.","Open to all Rivertown residents; ID recommended not required",900 Industrial Blvd Rivertown,30.2550,-97.7600,Mon-Fri 08:00-16:00,555-010-0011,www.rivertownfoodbank-example.org,TRUE,2026-06-05
12,Kids First Backpack Meal Program,food,"Provides weekend backpacks of food for children who rely on school meals during the week.","School-age children enrolled in Rivertown ISD",Distributed through partner schools,30.2800,-97.7350,Fri 13:00-15:00,555-010-0012,www.kidsfirstmeals-example.org,FALSE,2026-05-20
13,Rivertown Legal Aid Society,legal,"Free legal representation and advice for low-income residents on housing eviction defense and family law matters.","Household income under 125% federal poverty line",250 Justice Way Rivertown,30.2730,-97.7410,Mon-Fri 09:00-17:00,555-010-0013,www.rivertownlegalaid-example.org,FALSE,2026-06-12
14,Immigrant Rights Legal Clinic,legal,"Free consultations on immigration status asylum applications and family reunification cases. Spanish and Vietnamese speaking staff.","No income requirement; appointment preferred",310 Unity Plaza Rivertown,30.2790,-97.7280,Wed 10:00-16:00,555-010-0014,www.immigrantrightsclinic-example.org,FALSE,2026-06-08
15,Tenant Rights Hotline,legal,"Free phone consultations for renters facing eviction unsafe housing conditions or landlord disputes.","Free; open to all renters",N/A - Phone Service,30.2700,-97.7400,Mon-Fri 09:00-17:00,555-010-0015,www.tenantrightshotline-example.org,FALSE,2026-06-01
16,Rivertown Financial Empowerment Center,financial,"Free one-on-one financial counseling covering budgeting debt reduction and credit repair.","Free; no income requirement; appointment recommended",150 Commerce St Rivertown,30.2740,-97.7360,Mon-Fri 09:00-18:00,555-010-0016,www.rivertownfec-example.org,TRUE,2026-05-25
17,Emergency Utility Assistance Program,financial,"One-time financial assistance to prevent utility shutoff for qualifying low-income households.","Income under 150% federal poverty line; utility shutoff notice required",400 Assistance Ave Rivertown,30.2680,-97.7330,Mon-Wed-Fri 08:30-15:30,555-010-0017,www.rivertownutilityhelp-example.org,FALSE,2026-06-14
18,Rivertown Rent Relief Fund,financial,"Emergency rental assistance grants for households at risk of eviction due to job loss or medical hardship.","Proof of income loss or hardship required; income under 200% FPL",400 Assistance Ave Rivertown,30.2680,-97.7330,Mon-Fri 08:30-15:30,555-010-0018,www.rivertownrentrelief-example.org,FALSE,2026-06-14
19,Little Sprouts Childcare Subsidy Program,childcare,"Helps low-income families access subsidized childcare slots at partner daycare centers citywide.","Income under 185% federal poverty line; must be employed or in school",60 Daycare Ln Rivertown,30.2860,-97.7200,Mon-Fri 08:00-16:00,555-010-0019,www.littlesproutschildcare-example.org,FALSE,2026-05-30
20,Rivertown Parent Resource Center,childcare,"Free parenting classes childcare referrals and diaper distribution for new and expecting parents.","Free; open to all parents and caregivers",75 Family Way Rivertown,30.2850,-97.7280,"Tue,Thu 10:00-14:00",555-010-0020,www.rivertownparentcenter-example.org,TRUE,2026-06-02
21,Rivertown Free Vision Clinic,health,"Free eye exams and low-cost prescription glasses for uninsured residents.","No insurance required; income-based discount on glasses",180 Sight St Rivertown,30.2715,-97.7395,Sat 09:00-13:00,555-010-0021,www.rivertownvision-example.org,TRUE,2026-04-10
22,Rivertown Veterans Resource Hub,other,"One-stop center connecting veterans to benefits housing assistance job placement and counseling.","Must be a veteran or active military family member",500 Honor Blvd Rivertown,30.2600,-97.7350,Mon-Fri 08:00-17:00,555-010-0022,www.rivertownvets-example.org,TRUE,2026-05-18
23,Rivertown Senior Services Center,other,"Meal delivery transportation assistance and social programs for adults 60 and older.","Ages 60+; free or low-cost depending on program",220 Golden Years Dr Rivertown,30.2790,-97.7500,Mon-Fri 08:00-16:00,555-010-0023,www.rivertownseniors-example.org,TRUE,2026-05-22
24,Community Dental Outreach Van,health,"Mobile dental unit offering free checkups and basic care at rotating locations, with focus on uninsured children.","No insurance required; children prioritized; check schedule for location",Rotating locations - see website,30.2670,-97.7420,Rotating - 1st Sat monthly 09:00-14:00,555-010-0024,www.dentalvan-example.org,TRUE,2026-06-01
25,Rivertown Free Legal Clinic - Family Law,legal,"Monthly walk-in clinic offering free advice on custody divorce and child support matters.","Free; walk-in; no income requirement",250 Justice Way Rivertown,30.2730,-97.7410,3rd Sat monthly 10:00-13:00,555-010-0025,www.rivertownlegalaid-example.org,TRUE,2026-06-06
26,Rivertown Sliding Scale Therapy Collective,mental_health,"Group of independent therapists offering sliding-scale individual therapy for adults, specializing in trauma and grief.","Sliding scale $10-$60 per session; no insurance required",90 Wellness Way Rivertown,30.2820,-97.7370,Mon-Fri 10:00-20:00,555-010-0026,www.rivertowntherapycollective-example.org,FALSE,2026-06-11
27,Rivertown Domestic Violence Legal Advocacy,legal,"Free legal help obtaining protective orders and navigating family court for survivors of abuse.","Survivors of domestic violence; free and confidential",250 Justice Way Rivertown,30.2730,-97.7410,Mon-Fri 09:00-17:00,555-010-0027,www.dvlegaladvocacy-example.org,FALSE,2026-06-09
28,Rivertown 24-Hour Nurse Line,health,"Free phone line staffed by nurses for medical questions and guidance on whether to seek emergency care.","Free; open to all; no eligibility requirements",N/A - Phone Service,30.2700,-97.7400,24/7,555-010-0028,www.rivertownnurseline-example.org,FALSE,2026-06-01
29,Rivertown Diaper Bank,childcare,"Free diapers and baby wipes distributed monthly to families in need.","Household with children under 3; income-based",75 Family Way Rivertown,30.2850,-97.7280,2nd Sat monthly 09:00-12:00,555-010-0029,www.rivertowndiaperbank-example.org,TRUE,2026-05-28
30,Rivertown Job & Career Center,financial,"Free job placement resume help and career counseling services, including for those with unstable housing.","Free; open to all Rivertown residents",300 Opportunity Ave Rivertown,30.2760,-97.7320,Mon-Fri 08:00-17:00,555-010-0030,www.rivertownjobcenter-example.org,TRUE,2026-06-03
